pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-150.0,z,11,3,47,3,,,,,256.07873610034585,257.06207840004936,257.06207840004936,257.06207840004936,257.06207840004936,257.0786758000031,258.07870740024373,258.07870740024373,z,1,0.499936499632895,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,12,0,48,0,,,,,258.59531630016863,259.59547709999606,259.59547709999606,259.59547709999606,259.59547709999606,259.59547709999606,260.59528260026127,260.59528260026127,x,1,0.6792913996614516,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,12,1,49,1,,,,,261.2952815000899,262.29517590021715,262.29517590021715,262.29517590021715,262.29517590021715,262.29517590021715,263.2951238001697,263.2951238001697,v,1,0.48597299959510565,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,12,2,50,2,,,,,263.8118217000738,264.8115834002383,264.8115834002383,264.8115834002383,264.8115834002383,264.8115834002383,265.8115368001163,265.8115368001163,c,1,0.3972672997042537,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,12,3,51,3,,,,,266.2285539000295,267.228228200227,267.228228200227,267.228228200227,267.228228200227,267.228228200227,268.2283817999996,268.2283817999996,z,1,0.4795196997001767,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,13,0,52,0,,,,,268.72821310022846,269.72832900006324,269.72832900006324,269.72832900006324,269.72832900006324,269.72832900006324,270.72816340019926,270.72816340019926,x,1,0.5351573997177184,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,13,1,53,1,,,,,271.2948058000766,272.2948354999535,272.2948354999535,272.2948354999535,272.2948354999535,272.2948354999535,273.2948293001391,273.2948293001391,v,1,0.7841532998718321,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,13,2,54,2,,,,,274.11139720026404,275.11123390030116,275.11123390030116,275.11123390030116,275.11123390030116,275.11123390030116,276.11130890017375,276.11130890017375,c,1,0.7837425996549428,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,13,3,55,3,,,,,276.91134890029207,277.91124980011955,277.91124980011955,277.91124980011955,277.91124980011955,277.91124980011955,278.91115509998053,278.91115509998053,z,1,0.6757145994342864,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,14,0,56,0,,,,,279.6111225001514,280.61122169997543,280.61122169997543,280.61122169997543,280.61122169997543,280.61122169997543,281.6111173001118,281.6111173001118,x,1,0.5567250996828079,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,14,1,57,1,,,,,282.1947620003484,283.1943117999472,283.1943117999472,283.1943117999472,283.1943117999472,283.1943117999472,284.1943891001865,284.1943891001865,v,1,0.5141576994210482,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,14,2,58,2,,,,,284.7275640000589,285.7276758002117,285.7276758002117,285.7276758002117,285.7276758002117,285.7276758002117,286.7276537003927,286.7276537003927,c,1,1.2264768998138607,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,14,3,59,3,,,,,287.9773632003926,288.9774794001132,288.9774794001132,288.9774794001132,288.9774794001132,288.9774794001132,289.9773416002281,289.9773416002281,z,1,0.8380100997164845,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,15,0,60,0,,,,,290.84408700000495,291.84411519998685,291.84411519998685,291.84411519998685,291.84411519998685,291.84411519998685,292.8440434001386,292.8440434001386,x,1,0.6246677995659411,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,15,1,61,1,,,,,293.4939867001958,294.4939972003922,294.4939972003922,294.4939972003922,294.4939972003922,294.4939972003922,295.49395740032196,295.49395740032196,v,1,0.7812361996620893,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,15,2,62,2,,,,,296.29390890011564,297.29400650039315,297.29400650039315,297.29400650039315,297.29400650039315,297.29400650039315,298.2938582999632,298.2938582999632,c,1,0.786614999640733,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,15,3,63,3,,,,,299.1108793001622,300.1105234003626,300.1105234003626,300.1105234003626,300.1105234003626,300.1105234003626,301.11030289996415,301.11030289996415,z,1,0.43792139971628785,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,16,0,64,0,,,,,301.57693520002067,302.5769927003421,302.5769927003421,302.5769927003421,302.5769927003421,302.5769927003421,303.5769847002812,303.5769847002812,x,1,0.7863495997153223,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,16,1,65,1,,,,,304.39370610006154,305.39361419994384,305.39361419994384,305.39361419994384,305.39361419994384,305.39361419994384,306.3934503002092,306.3934503002092,v,1,0.5027373996563256,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,16,2,66,2,,,,,306.92681990005076,307.92698150034994,307.92698150034994,307.92698150034994,307.92698150034994,307.92698150034994,308.92701400024816,308.92701400024816,c,1,0.44396529952064157,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,16,3,67,3,,,,,309.3934377999976,310.3935096003115,310.3935096003115,310.3935096003115,310.3935096003115,310.3935096003115,311.3933642003685,311.3933642003685,z,1,0.5097106997855008,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,17,0,68,0,,,,,311.92668280005455,312.92666040034965,312.92666040034965,312.92666040034965,312.92666040034965,312.92666040034965,313.9266544999555,313.9266544999555,x,1,0.5700950995087624,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,17,1,69,1,,,,,314.52648810017854,315.5265914001502,315.5265914001502,315.5265914001502,315.5265914001502,315.5265914001502,316.5264061000198,316.5264061000198,v,1,1.0555012999102473,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,17,2,70,2,,,,,317.60973280016333,318.609678900335,318.609678900335,318.609678900335,318.609678900335,318.609678900335,319.6097478000447,319.6097478000447,c,1,0.768175299745053,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,17,3,71,3,,,,,320.4096872000955,321.4097303003073,321.4097303003073,321.4097303003073,321.4097303003073,321.4097303003073,322.4095731000416,322.4095731000416,z,1,0.832477799616754,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,18,0,72,0,,,,,323.2593531003222,324.26004520012066,324.26004520012066,324.26004520012066,324.26004520012066,324.26004520012066,325.25937780039385,325.25937780039385,x,1,0.6985168997198343,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
